project_id	geoname_id	precision_code	place_name	latitude	longitude	location_type_code	geoname_adm_code	geonames_adm_name
203161	1490	4.1	Gornām-e Soflá	36.38333	53.41667	PPL	IR|35	Iran|Māzandarān
203161	1254	4.2	Dīzaj-e Nāvlū	37.34184	46.08612	PPL	IR|33	Iran|East Azerbaijan
203161	1277	4.1	Katarnū	36.12207	53.72974	FRM	IR|25	Iran|Semnān
203161	1448	4.1	Kamar Sar	36.32045	53.33559	FRM	IR|35	Iran|Māzandarān
203161	1601	4.1	Salīm Sheykh	36.43973	53.10342	PPL	IR|35	Iran|Māzandarān
203161	1433	3	Nīleh Kūh	36.36317	53.69271	PPLQ	IR|35	Iran|Māzandarān
203161	1406	4.1	Kūtmār	36.23333	53.61667	PPL	IR|35	Iran|Māzandarān
203161	1256	4.2	Noşratābād-e Amīr Ghāyeb	37.10408	46.20261	PPL	IR|33	Iran|East Azerbaijan
203161	1573	4.1	Ḩājjī Bābā	36.78333	53.26667	PPL	IR|35	Iran|Māzandarān
203161	1250	4.2	Khoţb	37.4607	46.341	PPLQ	IR|33	Iran|East Azerbaijan
203161	1489	4.1	Kārnām-e ‘Olyā	36.39078	53.41677	PPL	IR|35	Iran|Māzandarān
203161	1431	3	Kūh-e Sūrt	36.36301	53.81546	MT	IR|35	Iran|Māzandarān
203161	1558	4.1	Jāmkhāneh	36.58333	53.25	PPL	IR|35	Iran|Māzandarān
203161	2708	1	Moḩammad Qolī	32.1168	52.6452	FRMQ	IR|28	Iran|Isfahan
203161	1460	3	Ḩājjīābād	36.28333	52.86667	PPL	IR|35	Iran|Māzandarān
203161	1512	4.1	Aqtalat	36.55	53.83333	PPL	IR|35	Iran|Māzandarān
203161	9212612	3	Minova	-1.70694	29.01917	ADM3	CD|07	Democratic Republic of the Congo|Lac Prefecture
203161	1251	4.2	Jahāngīr	37.4063	46.2763	PPL	IR|33	Iran|East Azerbaijan
203161	8260563	4.1	North Kivu	-0.65515	29.03398	ADM2	CD|11	Democratic Republic of the Congo|Nord Kivu
203161	1459	3	Katū	36.28333	52.86667	PPL	IR|35	Iran|Māzandarān
203161	1274	4.1	Kalāteh-ye Ḩājjī Esḩaq ‘Alī	36.08705	53.80279	FRM	IR|25	Iran|Semnān
203161	1253	4.2	Tāzeh Kand-e Zavāraq	37.29436	46.09849	PPL	IR|33	Iran|East Azerbaijan
203161	1278	4.1	Maḩmūdābād	36.10805	53.76787	FRM	IR|25	Iran|Semnān
203161	1396	3	Bālā Chāyrān	36.19933	52.96611	PPL	IR|35	Iran|Māzandarān
203161	1273	4.1	Kalāteh-ye Taqī	36.07445	53.81233	FRM	IR|25	Iran|Semnān
203164	1435	4.1	Kūh-e Babr Cheshmeh	36.37282	53.65241	MT	IR|35	Iran|Māzandarān
203164	1460	4.1	Ḩājjīābād	36.28333	52.86667	PPL	IR|35	Iran|Māzandarān
203164	1251	4.2	Jahāngīr	37.4063	46.2763	PPL	IR|33	Iran|East Azarbaijan
203164	8260563	4.1	North Kivu	-0.65515	29.03398	ADM2	CD|11	Democratic Republic of the Congo|Nord Kivu
203164	1436	4.1	Kūh-e Gol Jārī	36.31165	53.58353	MT	IR|35	Iran|Māzandarān
203164	1274	4.1	Kalāteh-ye Ḩājjī Esḩaq ‘Alī	36.08705	53.80279	FRM	IR|25	Iran|Semnān
203164	1253	4.2	Tāzeh Kand-e Zavāraq	37.29436	46.09849	PPL	IR|33	Iran|East Azerbaijan
203164	1461	4.1	Kūh-e Barf Pājūn	36.30587	52.92326	MT	IR|35	Iran|Māzandarān
203230	203312	5	DR Congo	-2.5	23.5	PCLI	CD|00	Democratic Republic of the Congo
203445	203312	5	DR Congo	-2.5	23.5	PCLI	CD|00	Democratic Republic of the Congo
203458	1346	3	Shūsh Vazūn	36.0644	52.62697	RSRT	IR|35	Iran|Māzandarān
203458	1369	3	Katīvak-e Bālā	36.06667	52.55	PPL	IR|35	Iran|Māzandarān
203458	1373	3	Anījdān	36.09056	52.57179	RSRT	IR|35	Iran|Māzandarān
203458	217254	3	Dimbelenge	-5.55	23.11667	ADM3	CD|03	Democratic Republic of the Congo|Kasaï-Occidental
203458	1324	3	Lāltā	36.06373	52.9189	PPL	IR|35	Iran|Māzandarān
203458	1538	3	Kashar Kheyl	36.68333	53.63333	PPL	IR|35	Iran|Māzandarān
203458	8335010	4.1	Kananga City	-5.872	22.505	ADM2	CD|03	Democratic Republic of the Congo|Kasaï-Occidental
203458	1287	4.1	Emāmzādeh Ebrāhīm	36.0964	53.6486	SHRN	IR|35	Iran|Māzandarān
203458	1256	4.2	Noşratābād-e Amīr Ghāyeb	37.10408	46.20261	PPL	IR|33	Iran|East Azerbaijan
203458	1371	3	Kamar Posht	36.08042	52.56531	RSRT	IR|35	Iran|Māzandarān
203458	1345	3	Kūh-e Shaljamār Zadīn	36.0176	52.64419	MT	IR|35	Iran|Māzandarān
203458	1372	3	Paleh Posht	36.08372	52.53557	RSRT	IR|35	Iran|Māzandarān
203458	1289	4.1	Sīāh Gāv Sarā	36.09935	53.5625	CRRL	IR|35	Iran|Māzandarān
203458	1323	3	Chamāz Chāl	36.05	52.91667	PPL	IR|35	Iran|Māzandarān
203472	1257	4.2	Ārpā Darrehsī	37.0749	46.3968	PPL	IR|01	Iran|Āz̄ārbāyjān-e Gharbī
203568	1257	4.2	Ārpā Darrehsī	37.0749	46.3968	PPL	IR|01	Iran|Āz̄ārbāyjān-e Gharbī
203568	209226	4.1	Mbuji-Mayi City	-6.15	23.6	ADM2	CD|04	Democratic Republic of the Congo|Kasaï-Oriental
203771	1397	3	Shelāk	36.17095	53.11975	PPL	IR|35	Iran|Māzandarān
203771	216279	4.1	Goma	-1.68333	29.23333	ADM3	CD|11	Democratic Republic of the Congo|Nord Kivu
203771	1435	3	Kūh-e Babr Cheshmeh	36.37282	53.65241	MT	IR|35	Iran|Māzandarān
203771	1460	3	Ḩājjīābād	36.28333	52.86667	PPL	IR|35	Iran|Māzandarān
203771	1437	3	Kūh-e Khowrd-e Tūskāsī	36.33994	53.48174	MT	IR|35	Iran|Māzandarān
203771	1251	4.2	Jahāngīr	37.4063	46.2763	PPL	IR|33	Iran|East Azerbaijan
203771	8260563	4.1	North Kivu	-0.65515	29.03398	ADM2	CD|11	Democratic Republic of the Congo|Nord Kivu
203771	8260598	3	Nyirangongo	-1.55515	29.286	ADM3	CD|11	Democratic Republic of the Congo|Nord Kivu
203771	1459	3	Katū	36.28333	52.86667	PPL	IR|35	Iran|Māzandarān
203771	1436	3	Kūh-e Gol Jārī	36.31165	53.58353	MT	IR|35	Iran|Māzandarān
203771	1253	4.2	Tāzeh Kand-e Zavāraq	37.29436	46.09849	PPL	IR|33	Iran|East Azerbaijan
203771	1274	4.1	Kalāteh-ye Ḩājjī Esḩaq ‘Alī	36.08705	53.80279	FRM	IR|25	Iran|Semnān
203771	1461	3	Kūh-e Barf Pājūn	36.30587	52.92326	MT	IR|35	Iran|Māzandarān
203823	1256	4.2	Noşratābād-e Amīr Ghāyeb	37.10408	46.20261	PPL	IR|33	Iran|East Azerbaijan
203823	1573	3	Ḩājjī Bābā	36.78333	53.26667	PPL	IR|35	Iran|Māzandarān
203823	1250	4.2	Khoţb	37.4607	46.341	PPLQ	IR|33	Iran|East Azerbaijan
204116	1589	3	Tameshk Kūtī	36.70446	53.16825	PPL	IR|35	Iran|Māzandarān
204116	1476	3	Bālā Ketāb	36.41667	52.65	PPL	IR|35	Iran|Māzandarān
204116	1485	3	Kūh-e Jīpūst	36.30954	53.02649	MT	IR|35	Iran|Māzandarān
204116	1486	3	Kamar Kheyl	36.346	53.12574	PPL	IR|35	Iran|Māzandarān
204116	203312	5	DR Congo	-2.5	23.5	PCLI	CD|00	Democratic Republic of the Congo
204116	1369	3	Katīvak-e Bālā	36.06667	52.55	PPL	IR|35	Iran|Māzandarān
204116	1525	3	Laleh Bangeh	36.9	53.88333	PPL	IR|35	Iran|Māzandarān
204116	1526	3	Qezel Bābāy	36.88333	53.83333	PPL	IR|35	Iran|Māzandarān
204116	217254	3	Dimbelenge	-5.55	23.11667	ADM3	CD|03	Democratic Republic of the Congo|Kasaï-Occidental
204116	1254	4.2	Dīzaj-e Nāvlū	37.34184	46.08612	PPL	IR|33	Iran|East Azerbaijan
204116	1277	4.1	Katarnū	36.12207	53.72974	FRM	IR|25	Iran|Semnān
204116	1397	3	Shelāk	36.17095	53.11975	PPL	IR|35	Iran|Māzandarān
204116	1617	4.1	Bālā Lamūk	36.49643	52.89888	PPL	IR|35	Iran|Māzandarān
204116	7731901	3	Gbadolite	4.27496	20.87669	ADM3	CD|02	Democratic Republic of the Congo|Équateur
204116	1324	3	Lāltā	36.06373	52.9189	PPL	IR|35	Iran|Māzandarān
204116	1433	3	Nīleh Kūh	36.36317	53.69271	PPLQ	IR|35	Iran|Māzandarān
204116	1588	3	Marzūd	36.69175	53.09469	PPL	IR|35	Iran|Māzandarān
204116	9179463	4.1	Kalehe	-2.1	28.91667	ADM2	CD|12	Democratic Republic of the Congo|South Kivu
204116	1538	3	Kashar Kheyl	36.68333	53.63333	PPL	IR|35	Iran|Māzandarān
204116	1527	3	Īlkhchī Kūmeh	36.88333	53.76667	PPL	IR|35	Iran|Māzandarān
204116	1287	4.1	Emāmzādeh Ebrāhīm	36.0964	53.6486	SHRN	IR|35	Iran|Māzandarān
204116	1256	4.2	Noşratābād-e Amīr Ghāyeb	37.10408	46.20261	PPL	IR|33	Iran|East Azerbaijan
204116	1590	3	Santeh	36.65	53.03333	PPL	IR|35	Iran|Māzandarān
204116	1521	3	Marang	36.73333	53.91667	PPL	IR|35	Iran|Māzandarān
204116	1341	3	Garīvash	36.06667	52.66667	PPL	IR|35	Iran|Māzandarān
204116	1609	3	Pā’īn Tālār Posht	36.4175	52.8395	PPL	IR|35	Iran|Māzandarān
204116	1360	3	Latī	36.0992	52.58615	RSRT	IR|35	Iran|Māzandarān
204116	1345	3	Kūh-e Shaljamār Zadīn	36.0176	52.64419	MT	IR|35	Iran|Māzandarān
204116	1522	3	Cheshmeh Bolbol	36.719	53.83754	PPL	IR|35	Iran|Māzandarān
204116	1289	4.1	Sīāh Gāv Sarā	36.09935	53.5625	CRRL	IR|35	Iran|Māzandarān
204116	1259	4.2	Qermez Khalīfeh-ye ‘Olyā	37.06556	46.06244	PPL	IR|01	Iran|Āz̄ārbāyjān-e Gharbī
204116	1303	4.1	Qatūjā	36.03333	53.2	PPL	IR|35	Iran|Māzandarān
204116	1591	3	Dāmīr	36.61667	53.06667	PPL	IR|35	Iran|Māzandarān
204116	1488	3	Kondes Bon	36.39561	53.35026	PPL	IR|35	Iran|Māzandarān
204116	1323	3	Chamāz Chāl	36.05	52.91667	PPL	IR|35	Iran|Māzandarān
204116	1437	3	Kūh-e Khowrd-e Tūskāsī	36.33994	53.48174	MT	IR|35	Iran|Māzandarān
204116	1523	3	Khazeynī	36.90463	53.97394	PPL	IR|35	Iran|Māzandarān
204116	1524	3	Jahānshāhī	36.89357	53.92538	RNCH	IR|35	Iran|Māzandarān
204116	1280	4.1	Ḩoseynābād	36.08111	53.73633	FRM	IR|25	Iran|Semnān
204116	1255	4.2	Darbsar	37.1051	45.5249	FRMQ	IR|01	Iran|Āz̄ārbāyjān-e Gharbī
204116	1358	3	Estchāl	36.10919	52.58994	RSRT	IR|35	Iran|Māzandarān
204116	1356	3	Kūh-e Estārūn	36.14828	52.7273	MT	IR|35	Iran|Māzandarān
204116	1274	4.1	Kalāteh-ye Ḩājjī Esḩaq ‘Alī	36.08705	53.80279	FRM	IR|25	Iran|Semnān
204116	1253	4.2	Tāzeh Kand-e Zavāraq	37.29436	46.09849	PPL	IR|33	Iran|East Azerbaijan
204116	1284	4.1	Sīk	36.03308	53.717	FRMQ	IR|25	Iran|Semnān
204116	1477	3	Gerd Rūdbār	36.36078	52.67066	PPL	IR|35	Iran|Māzandarān
204116	1288	4.1	Sīāvash Kolā	36.17051	53.52837	PPL	IR|35	Iran|Māzandarān
204116	1304	4.1	Qetlīlūm	36.01606	53.17113	AREA	IR|35	Iran|Māzandarān
204116	1487	3	Kajarestāq	36.38333	53.33333	PPL	IR|35	Iran|Māzandarān
RDC0709312	8260566	4.1	South Kivu	-3.22552	28.59604	ADM2	CD|12	Democratic Republic of the Congo|South Kivu
RDC0709312	205413	4.2	South Kivu	-3.16667	28.25	ADM1	CD|12	Democratic Republic of the Congo|South Kivu
RDC0709312	204404	4.1	Uvira	-3.4	29.13333	ADM3	CD|12	Democratic Republic of the Congo|South Kivu
RDC0505511	214139	4.2	Province du Kasaï-Occidental	-5.33333	21.58333	ADM1	CD|03	Democratic Republic of the Congo|Kasaï-Occidental
RDC0505511	9179898	4.1	Ville de Kananga	-5.9	22.41667	ADM2	CD|03	Democratic Republic of the Congo|Kasaï-Occidental
RDC0709411	2317396	4.2	Bandundu Province	-4	18	ADM1	CD|01	Democratic Republic of the Congo|Bandundu
RDC0709411	2314704	4.1	Kikwit	-5.03333	18.81667	ADM3	CD|01	Democratic Republic of the Congo|Bandundu
RDC0709311	213927	4.1	Kasongo	-4.45	26.66667	ADM3	CD|10	Democratic Republic of the Congo|Maniema
RDC0709311	212902	1	Kindu	-2.94373	25.92237	PPLA	CD|10	Democratic Republic of the Congo|Maniema
RDC0709311	8260564	4.1	Maniema	-3.34835	26.48858	ADM2	CD|10	Democratic Republic of the Congo|Maniema
RDC0709311	209610	4.2	Province du Maniema	-3	26	ADM1	CD|10	Democratic Republic of the Congo|Maniema
RDC1015211	1298	4.1	Kheshtestān	36.13985	53.2959	PPL	IR|35	Iran|Māzandarān
RDC0709211	1255	4.2	Darbsar	37.1051	45.5249	FRMQ	IR|01	Iran|Āz̄ārbāyjān-e Gharbī
RDC0709211	1286	4.1	Kūh-e Vajar Khowrdīn	36.1194	53.67646	MT	IR|35	Iran|Māzandarān
RDC1116011	205703	4.2	Katanga Province	-9	26	ADM1	CD|05	Democratic Republic of the Congo|Katanga
RDC1116011	8051180	4.1	Kolwezi	-10.495	25.635	ADM2	CD|05	Democratic Republic of the Congo|Katanga
RDC1116011	9165800	4.1	Lubumbashi (city)	-11.72207	27.5173	ADM2	CD|05	Democratic Republic of the Congo|Katanga
RDC1116011	209226	4.1	Mbuji-Mayi City	-6.15	23.6	ADM2	CD|04	Democratic Republic of the Congo|Kasaï-Oriental
RDC1116011	214138	4.2	Province du Kasaï-Oriental	-4.5	24	ADM1	CD|04	Democratic Republic of the Congo|Kasaï-Oriental
RDC1014811	7731984	4.1	Boma	-5.8016	13.06896	ADM2	CD|08	Democratic Republic of the Congo|Bas-Congo
RDC1014811	2317277	4.2	Province du Bas-Congo	-5.33333	14.33333	ADM1	CD|08	Democratic Republic of the Congo|Bas-Congo
RDC0812411	214973	4.1	Kalemie	-5.93333	29.2	ADM3	CD|05	Democratic Republic of the Congo|Katanga
RDC0812411	205703	4.2	Katanga Province	-9	26	ADM1	CD|05	Democratic Republic of the Congo|Katanga
RDC0812411	9179901	1	Port of Kalemie	-5.94578	29.20088	WHRF	CD|05	Democratic Republic of the Congo|Katanga
RDC0812411	205253	4.1	Tanganika	-5.93333	29.2	ADM2	CD|05	Democratic Republic of the Congo|Katanga
